RealEstate,0.056974725466182014,0.05752145179994433
Airfoil-Self-Noise,0.049790924755096055,0.052620043750773296
ConcreteCompressiveStrength,0.0508404086045569,0.05198747665589091
529_pollen,0.06995083727362524,0.06833890268332916
503_wind,0.07260226571507475,0.07296255919101484
654_fri_c0_500_10,0.08131513166958752,0.08150739335451432
WineQuality,0.121034889004768,0.12090451145255172
ParkinsonsTelemonitoring,0.04302655416726333,0.04412243611023809
AuctionVerification,0.01139289171950561,0.010352872961813224
225_puma8NH,0.1397051126477568,0.1402652886734167
225_puma8NH,0.1397051126477568,0.1402652886734167
537_houses,0.09620208627552691,0.09642170550640497
623_fri_c4_1000_10,0.04093746680199194,0.0401261470818421
547_no2,0.09940141308136345,0.10193265901327782
666_rmftsa_ladata,0.08915631908385624,0.08684421936075676
294_satellite_image,0.1173001290909323,0.12212430293694118
562_cpu_small,0.027984184571742902,0.027833812400600014
197_cpu_act,0.023974283381138023,0.02416201046777261
574_house_16H,0.05975513927902707,0.060327012800983605
218_house_8L,0.05743875287380843,0.05764360865374535
227_cpu_small,0.027984184571742902,0.027833812400600014
573_cpu_act,0.023974283381138023,0.02416201046777261
564_fried,0.034046075415432274,0.034031460037239246
609_fri_c0_1000_5,0.07538410728523212,0.07841410720715995
BostonHousePrice,0.06495501240316949,0.07039930126448436
HousePrice,0.016402119024856776,0.01613505046090492
595_fri_c0_1000_10,0.07304454074392526,0.07520016701412918
